ref;auteur;heros;titre;serie;prixPublic;prixEditeur;genre;refEdit;editeur;refFournisseur;fournisseur;resume;;
BD000117;GILLON;JEHANNE;LA SEVE ET LE SANG;;10.52;9.99;AVENTURE;6051668;ALBIN MICHEL;9782226065766;HACHETTE;;;
BD000118;GILLON;JEHANNE;JEHANNE LA PUCELLE;;18.29;17.36;AVENTURE;6052138;ALBIN MICHEL;9782226094162;HACHETTE;Il était une fois, ce jour de juin 1426 en royaume de France, une bergère, Jehanne, rêveuse fière et hardie. Adaptation libre de la légende de cette héroïne nationale.;;
BD000119;GILLON;LA SURVIVANTE;LA SURVIVANTE - T1;;8.99;8.54;AVENTURE;6050926;ALBIN MICHEL;9782226022929;HACHETTE;;;
BD000120;GILLON;LA SURVIVANTE;L'ULTIMATUM - T4;;8.99;8.54;AVENTURE;6051379;ALBIN MICHEL;9782226055644;HACHETTE;La Terre est ravagée par l'Apocalypse. Seuls survivent Aude, son fils Jonas et des robots sadiques, prêts à tout pour extirper des derniers humains le condensé de leurs sensations les plus profondes. Avec l'Ultimatum, quatrième et dernier volume de cette fresque post-atomique, Paul GILLON achève sa parabole sur la déshumanisation de notre monde.;;
BD000121;GILLON;LA SURVIVANTE;LA SURVIVANTE - INTEGRALE;;28.97;27.52;AVENTURE;6051916;ALBIN MICHEL;9782226080035;HACHETTE;Elle a survécu à l' Apocalypse. Dans un monde que la vie a quitté, elle est seule. Seule avec les robots. Elle est LA SURVIVANTE !... Réservé aux Adultes Avertis !;;
BD000122;GUIBERT;BRUNE;BRUNE;;11.43;10.86;AVENTURE;6051502;ALBIN MICHEL;9782226059987;HACHETTE;;;
BD000123;JANO;GAZOLINE;GAZOLINE ET LA PLANETE ROUGE;;7.93;7.53;HUMOUR;122954;ALBIN MICHEL;9782226037251;HACHETTE;;;
BD000124;JANO;KEMI;KEMI LE RAT DE BROUSSE;;8.69;8.26;HUMOUR;6051718;ALBIN MICHEL;9782226075154;HACHETTE;;;
BD000125;JANO;;PANAME;;14.94;14.19;AVENTURE;6052146;ALBIN MICHEL;9782226093455;HACHETTE;;;
BD000126;JANO;SANTA SARDHINA;LES FABULEUSES DERIVES DE LA SANTA SARDHINA;;11.89;11.3;AVENTURE;6055156;ALBIN MICHEL;9782226107510;HACHETTE;;;
BD000127;JANO / TRAMBER;KEBRA;KEBRA KRADO KOMIX;;6.4;6.08;HUMOUR;6005888;ALBIN MICHEL;9782226022806;HACHETTE;;;
BD000128;JANO / TRAMBER;KEBRA;LES AVENTURES DE KEBRA;;22.71;21.58;HUMOUR;6052088;ALBIN MICHEL;9782226092533;HACHETTE;;;
BD000129;KURTZMAN;;LE LIVRE DE LA JUNGLE;;18.29;17.6;AVENTURE;6052054;ALBIN MICHEL;9782226089021;HACHETTE;;;
BD000130;LEVIS / LEROI;;LES PERLES DE L'AMOUR;;8.69;8.38;AVENTURE;6050892;ALBIN MICHEL;9782226022790;HACHETTE;Romance sous le ciel brûlant des Indes, la rencontre en pleine jungle de Rudyard Kipling et du Marquis de Sade.;;
BD000131;LEVIS / LEROI;;A CORPS PERDU;;9.91;9.41;AVENTURE;124904;ALBIN MICHEL;9782226039781;HACHETTE;;;
BD000132;LEROI / ROMANINI;DODO;DODO LA PETITE PENSIONNAIRE;;12.04;12.04;AVENTURE;6023311;ALBIN MICHEL;9782226053213;HACHETTE;Paris 1946. Marthe Richard fait voter la fermeture des maisons closes. Que vont devenir les pensionnaires du 27 et la charmante Dodo ?;;
BD000133;LE TENDRE / ROSSI;LES ERRANCES DE JULIUS ANTOINE;LEA - T1;;8.69;8.26;AVENTURE;6050918;ALBIN MICHEL;9782226022882;HACHETTE;;;
BD000134;LE TENDRE / ROSSI;LES ERRANCES DE JULIUS ANTOINE;LA MAISON - T2;;8.69;8.26;AVENTURE;6051015;ALBIN MICHEL;9782226027351;HACHETTE;;;
BD000135;LE TENDRE / ROSSI;LES ERRANCES DE JULIUS ANTOINE;LE SUJET - T3;;8.99;8.54;AVENTURE;6051163;ALBIN MICHEL;9782226037244;HACHETTE;;;
BD000136;LIBERATORE;LES FEMMES;LES FEMMES DE LIBERATORE;;21.19;20.13;EROTIQUE;6052203;ALBIN MICHEL;9782226095329;HACHETTE;;;
BD000137;LIBERATORE / TAMBURINI;RANXEROX;RANXEROX A NEW YORK - T1;;11.89;11.3;HUMOUR;6037675;ALBIN MICHEL;9782226088697;HACHETTE;;;
BD000138;LIBERATORE / TAMBURINI;RANXEROX;BON ANNIVERSAIRE LUBNA - T2;;11.89;11.3;HUMOUR;6037683;ALBIN MICHEL;9782226088703;HACHETTE;;;
BD000139;LIBERATORE / CHABAT;RANXEROX;AMEN - T3;;11.89;11.3;HUMOUR;6052013;ALBIN MICHEL;9782226087973;HACHETTE;;;
BD000140;LIBERATORE / TAMBURINI;RANXEROX;RANXEROX LA TOTALE;;18.29;17.6;HUMOUR;6026173;ALBIN MICHEL;9782226059925;HACHETTE;;;
BD000141;LOUP;;LES INTERDITS DE LOUP;;14.94;14.19;HUMOUR;6051452;ALBIN MICHEL;9782226056863;HACHETTE;;;
BD000142;LOUSTAL / FROMENTAL;;MEMOIRES AVEC DAMES PAR MOREL COX;;9.91;9.41;AVENTURE;6051122;ALBIN MICHEL;9782226035578;HACHETTE;;;
BD000143;MAGNUS;LES 110 PILULES;LA FLEUR DU LOTUS - T2;;8.99;8.54;EROTIQUE;6050942;ALBIN MICHEL;9782226025722;HACHETTE;Les 110 pilules c'est 110 allers simple pour l'extase. Mais attention à ne pas dépasser la dose prescrite...;;
BD000144;MAGNUS;;FEMMES ENVOUTEES;;8.99;8.54;EROTIQUE;6051247;ALBIN MICHEL;9782226039750;HACHETTE;;;
BD000145;CHAUVEL / LECURELEY;ARTHUR;ARTHUR LE COMBATTANT;;12.04;11.44;;;DELCOURT;;FLAMMARION;An 500. Le royaume de Bretagne est assailli de toutes parts par des peuples ennemis. Alors apparaît un étrange enfant nommé Myrrdin, doué de facultés divinatoires stupéfiantes. Et après lui, un guerrier sans égal : Arthur. Son épopée nous est racontée dans son intégralité, en une série fleuve qui prend sa source à la légende originelle... Un mythe incomparable restitué dans toute sa splendeur.;;
BD000146;MAZAN;PHILIBERT;DANS L'COCHON TOUT EST BON;;12.04;11.44;;;DELCOURT;;FLAMMARION;Philibert est un gentil garçon qui évolue dans une société obsédée par la bouffe et étouffée par la pollution. Sur une magnifique plage, où la température de l'eau est maintenue par l'usine voisine, le jeune homme rencontre Léa, jolie anorexique qui bronze un masque à gaz sur le visage. Elle disparaît quelques jours plus tard, laissant le pauvre garçon désemparé. Les retrouvailles auront lieu sur le lieu de travail de Philibert : la morgue.;;
BD000147;MANARA;LE PARFUM DE L'INVISIBLE;LE PARFUM DE L'INVISIBLE - T1;;12.04;11.44;EROTIQUE;6050959;ALBIN MICHEL;9782226027283;HACHETTE;Un professeur de physique honnête et naïf, a mis au point une pommade qui lui permet de se rendre invisible. Il veut ainsi épier Béatrice, une jeune danseuse qu'il aime secrètement depuis son enfance. Miel (toujours aussi belle ), le découvre à moitié invisible dans sa chambre d'hôtel. Elle essaiera donc de le convaincre que Béatrice n'est pas celle qu'il croit, mais plutôt une diablesse prétentieuse.;;
BD000148;MANARA;LE PARFUM DE L'INVISIBLE;LE PARFUM DE L'INVISIBLE - T2;;10.52;9.99;EROTIQUE;6051874;ALBIN MICHEL;9782226078179;HACHETTE;;;
BD000149;MANARA;;COURTS METRAGES;;10.52;9.99;EROTIQUE;6017917;ALBIN MICHEL;9782226032904;HACHETTE;Plusieurs histoires (courts métrages) chaudes et délirantes de la même veine que l'album HP et Giuseppe Bergman.;;
BD000150;MANARA;;CANDIDE CAMERA;;8.99;8.54;EROTIQUE;6051239;ALBIN MICHEL;9782226039736;HACHETTE;Miel travaille pour une société de production télévisuelle qui veut monter une émission genre micro-trottoir coquin. Devant le fiasco de ce micro trottoir, Miel décide de passer devant la caméra. S'ensuivront alors une série de situations torrides ou Miel nous apparaîtra dans son plus simple apparat.;;
BD000151;MANARA;;LES FEMMES DE MANARA;;30.18;28.68;EROTIQUE;6051908;ALBIN MICHEL;9782226079992;HACHETTE;Les filles de MANARA ne sont pareilles que dans la perfection. Elles semblent si lisses à première vue que l'oeil qui glisse les confond. Il faut prendre le temps de les détailler. S'y attarder. C'est dans l'étirement d'un regard. Dans la fossette d'une croupe. Dans le tombé d'une crinière ou le déboîtement d'une hanche. Un détail les distingue, toujours, comme une broutille les habille. Les filles de MANARA ne sont pas des perles de culture. Ce sont des perles sauvages. Toutes somptueuses, voluptueuses, toutes différentes. Regardez-les. Prenez le temps de les détailler, de les déchiffrer. Chacune a son histoire.;;
BD000152;MANARA;;RENDEZ VOUS FATAL;;10.52;9.99;EROTIQUE;6052039;ALBIN MICHEL;9782226088499;HACHETTE;Valéria est mariée à un jeune homme naïf, qui essaie de percer dans le monde politique. Mais son jeune politicien de mari doit de l'argent, beaucoup d'argent à des personnes pas très fréquentables. C'est ainsi qu'elle va se retrouver nez-à-nez avec une bande de mafieux. Alors commenceront les remboursements en nature. Ou qu'elle aille, Ursus sera toujours là pour la détrousser un peu plus...;;
BD000153;MANARA;;KAMA SUTRA;;14.94;14.19;EROTIQUE;6052187;ALBIN MICHEL;;HACHETTE;Cette récente production de Manara met en scène Parva et. Lulu, deux jeunes filles pas farouches. C'est par hasard que Parva met la main sur une ceinture magique qui va libérer l'esprit de Shiva, créature mythique qui s'incamera en jeune éphèbe à la pleine lune d'août à condition que Lulu triomphe de nombreuses épreuves dans lesquelles elle devra user de tous ses talents. Si elle triomphe, elles seront alors libérées et Parva pourra rejoindre Shiva. Une fois de plus MANARA nous transporte dans un univers très sensuel grâce à son trait toujours aussi suggestif . De plus cet album couleur est l'occasion pour l'artiste de s'essayer aux nouvelles technologies par l'emploi d'incrustations et de montages d'images numériques et de dessins. Miel travaille pour une société de production télévisuelle qui veut monter une émission genre micro trottoir coquin. Devant le fiasco de ce micro trottoir, Miel décide de passer devant la caméra. S'ensuivront alors une série de situations torrides ou Miel nous apparditra dans son;;
BD000154;MANARA;;LE PIEGE;;12.04;11.44;EROTIQUE;6052435;ALBIN MICHEL;9782226106308;HACHETTE;Deux jeunes nymphettes chauffent le Web en s'exhibant devant une web caméra. Mais quand une invité surprise débarque et se met à jouer avec la caméra, qui sait ce qu'il peut arriver lorsque son ex la voit ainsi sur le web. Une histoire coquine, prétexte à des scènes très dénudées sous le trait sensuel de MANARA.;;
BD000155;MANARA;;LA BETE;;12.04;12.04;EROTIQUE;F741;LA MUSARDINE;;MUSARDINE;Parue en 1976 sous le titre Le Singe, cette oeuvre de jeunesse adapte très librement une légende chinoise du XVème siècle. A cette base, MANARA et son scénariste, Silviero PISU, ajoutent leurs propres ingrédients politiques, philosophiques et bien sûr érotiques. Une histoire étrange sur la quête du pouvoir, un pays imaginaire en orient, un singe ambitieux : LA BETE. Une fois de plus MANARA nous étonne.;;
BD000156;HAGIWARA;BASTARD;LES LOIS IMMORALES 1 ERE PARTIE - T19;;6.4;6.08;MANGA;7364540;GLENAT;;HACHETTE;Dark Schneider est le plus puissant sorcier des Forces du Mal, mais un sortilège l'a transformé en un inoffensif gamin. Seul le baiser d'une jeune fille peut lui rendre ses pouvoirs et l'obliger à défendre le royaume de Metalicana. Inspiré par les jeux de rôles, Bastard, c'est toute la richesse de l'heroïc fantasy japonaise pleine d'humour et de dérision. Projeté dans les enfers, Dark Schneider est confronté à Satan lui-même. Mais ses pouvoirs ne sont rien comparés à ceux des démons. Pourtant, ces derniers ont besoin de lui. Pourquoi ? Serait-il un élément clef qui permettrait au Prince des Ténèbres de renverser Dieu et de régner sur l'univers ?;;
BD000157;MANARA;LE DECLIC;LE DECLIC - T2;;12.04;11.44;EROTIQUE;6051387;ALBIN MICHEL;9782226055637;HACHETTE;;;
BD000158;MANARA;LE DECLIC;LE DECLIC - T3;;12.04;11.44;EROTIQUE;6051700;ALBIN MICHEL;9782226075017;HACHETTE;;;
BD000159;MANARA;LE DECLIC;LE DECLIC INTEGRALE;;25.76;24.48;EROTIQUE;6052047;ALBIN MICHEL;9782226088628;HACHETTE;Claudia Christiani est une jeune femme de bonne famille mariée à un homme âgé mais riche. C'est le médecin de famille, le docteur Fez, qui va déchaîner les pulsions de Claudia grâce à une mystérieuse télécommande dérobée au professeur Kranz. La jeune femme est alors intenable et s'offre à tous les hommes qu'elle croise, sur une simple commande du docteur Fez. Jusqu'au jour ou l'on découvre que la télécommande n'est en fait qu'une boîte vide ! Ce sont donc 3 albums qui sont réunis dans cette intégrale dans lequelle on pourra apprécier la belle Claudia. Cette BD a eu un tel succès qu'elle fut adaptée au cinéma en 1985.;;
BD000160;MARCELLO / OLLIVIER;;LA NUIT BARBARE;;8.69;8.26;;6051080;ALBIN MICHEL;9782226032898;HACHETTE;;;
BD000161;MARGERIN;;Y A PLUS DE JEUNESSE;;8.69;8.26;HUMOUR;6051148;ALBIN MICHEL;9782226035752;HACHETTE;;;
BD000162;MATTIOLI;SQUEAK THE MOUSE;SQUEAK THE MOUSE - T2;;9.91;9.41;HUMOUR;6051494;ALBIN MICHEL;9782226059239;HACHETTE;;;
BD000163;MATTOTTI;;POUR VANITY;;27.44;26.07;;6015630;ALBIN MICHEL;9782226029775;HACHETTE;;;
BD000164;MIGNOLA / MC EOWN;ZOMBIES;ZOMBIES LE MAITRE DES VERS;;12.04;11.44;;6052443;ALBIN MICHEL;9782226106315;HACHETTE;;;
BD000165;MORCHOISNE;MONSTRES SACRES;MONSTRES SACRES;;14.94;14.19;;6037667;ALBIN MICHEL;9782226088468;HACHETTE;;;
BD000166;PETILLON;;LE CHIEN DES BASKETVILLE;;8.69;8.26;HUMOUR;6005136;ALBIN MICHEL;9782226020734;HACHETTE;;;
BD000167;PETILLON;;LA FIN DU MONDE EST POUR CE SOIR;;8.99;8.54;HUMOUR;6005730;ALBIN MICHEL;9782226025630;HACHETTE;;;
BD000168;PETILLON;;L'ANNEE DU TAG;;8.99;8.54;HUMOUR;6051361;ALBIN MICHEL;9782226053817;HACHETTE;;;
BD000169;PETILLON;;BIENVENUE AUX TERRIENS;;7.93;7.53;HUMOUR;6026314;ALBIN MICHEL;9782226061119;HACHETTE;;;
BD000170;PETILLON;;LA CONJONCTURE EST GENERALE;;8.99;8.54;HUMOUR;6026579;ALBIN MICHEL;9782226060068;HACHETTE;;;
BD000171;PETILLON;;EN PLEIN DANS LE POTAGE;;13.57;12.89;HUMOUR;6051775;ALBIN MICHEL;9782226076885;HACHETTE;;;
BD000172;PETILLON;;C'EST L'EPOQUE QUI VEUT CA;;12.04;11.44;HUMOUR;6052385;ALBIN MICHEL;9782226105035;HACHETTE;;;
BD000173;PETILLON;JACK PALMER;UNE SACREE SALADE - T1;;7.93;7.53;HUMOUR;6003479;ALBIN MICHEL;9782226017253;HACHETTE;;;
BD000174;PETILLON;JACK PALMER;MISTER PALMER ET DOCTEUR SUPERMARKETSTEIN - T2;;8.69;8.26;HUMOUR;6002257;ALBIN MICHEL;9782226017277;HACHETTE;;;
BD000175;PETILLON;JACK PALMER;LA DENT CREUSE - T3;;8.69;8.26;HUMOUR;6003610;ALBIN MICHEL;9782226017260;HACHETTE;;;
BD000176;PETILLON;JACK PALMER;LES DISPARUS D'APOSTROPHES - T4;;7.93;7.53;HUMOUR;6026322;ALBIN MICHEL;9782226061126;HACHETTE;;;
BD000177;PETILLON;JACK PALMER;LE CHANTEUR DE MEXICO - T5;;7.93;7.53;HUMOUR;6026330;ALBIN MICHEL;9782226061133;HACHETTE;;;
BD000178;PETILLON;JACK PALMER;LE PRINCE DE LA BD - T6;;7.93;7.53;HUMOUR;6026355;ALBIN MICHEL;9782226061157;HACHETTE;;;
BD000179;PETILLON;JACK PALMER;LE PEKINOIS - T7;;7.93;7.53;HUMOUR;6026348;ALBIN MICHEL;9782226061140;HACHETTE;;;
BD000180;PETILLON;JACK PALMER;UN DETECTIVE DANS LE YUCCA - T8;;10.52;9.99;HUMOUR;6051130;ALBIN MICHEL;9782226035639;HACHETTE;;;
BD000181;PETILLON;JACK PALMER;NARCO DOLLARS - T9;;10.52;9.99;HUMOUR;6051254;ALBIN MICHEL;9782226039774;HACHETTE;;;
BD000182;PETILLON;JACK PALMER;UN PRIVE DANS LA NUIT - T10;;10.52;9.99;HUMOUR;6051577;ALBIN MICHEL;9782226063670;HACHETTE;;;
BD000183;PETILLON;JACK PALMER;LE TOP MODEL - T11;;11.43;10.86;HUMOUR;6051858;ALBIN MICHEL;9782226076854;HACHETTE;;;
BD000184;PETILLON;JACK PALMER;LE MEILLEUR ET LE PIRE DE JACK PALMER;;10.52;9.99;HUMOUR;6054936;ALBIN MICHEL;9782226109132;HACHETTE;;;
BD000185;YOANN / FERLUT;ETHER GLISTER;CATHARZIE - T1;;12.04;11.44;SCIENCE FICTION;;DELCOURT;;FLAMMARION;Suite à l'arrivée de colonies terriennes, la charmante planète Ether est devenue le lieu de nombreux conflits. Après d'apocalyptiques guerres, il ne reste plus qu'une atmosphère viciée et quelques survivants partagés en deux camps. Mais voilà qu'un professeur a mis au point un gaz curatif qui pourrait sauver la planète. C'est sa femme, Ether Glister, qui se rend sur place avec le fameux produit. A la veille de la grande réunification, chacun tente de retirer une épingle dans le jeu du nouvel échiquier qui se dessine, alors que les rues et places de la planète Ether se couvrent de gens qui aspirent à une vie nouvelle. Dans un tel contexte, le voyage d'Ether Glister est semé d'embûches et d'interrogations. Qu'est-il arrivé à son mari, le professeur, et qu'a-t-il mis au point exactement ? Quel avenir se dessine pour la planète Ether ? Autant demander qui est réellement Ether Glister. Ou ce qu'elle a été ?;;
BD000186;KERFRIDEN / CHAUVEL;WADE MANTLE;QUATERBACK - T1;;12.04;11.44;THRILLER;;DELCOURT;;FLAMMARION;Manhattan, aux alentours de midi. Wade Mantle, célèbre joueur de football de l'équipe de Beavers, qui se rend à un rendez-vous avec le journaliste sportif Stephen Herek, est assassiné dans un parking souterrain. Peter Wadko, agent du FBI, est chargé de l'enquête. La télévision a tôt fait de relayer la nouvelle de la mort de Mantle. Deux personnes écoutant ces informations sont prises de panique : Red Greenberg, un des équipiers de Mantle, et Ralph Aparicio, le coach des Beavers. Red prend la fuite. Tout au long des 5 tomes que compte la série, le personnage central est l'agent du FBI, Peter Wadko. D'une banale enquête de meurtre, ce dernier passe à une affaire de grande envergure. Trois toiles de fond tissent cette série : tout d'abord une compétition intense entre le FBI et la CIA autour du meurtre, ensuite une intrigue de fond autour du mystère Vaughan (mafia russe, manipulations génétiques) et enfin, en toile de fond, viendront s'inscrire les vies de quatre joueurs de football américain.;;
BD000187;PICHARD / DUBOS;CAROLINE CHOLERA;CAROLINE CHOLERA;;7.93;7.53;EROTIQUE;6001515;ALBIN MICHEL;9782226014559;HACHETTE;;;
BD000188;PRADO;;VENIN DE FEMMES;;12.04;11.44;EROTIQUE;6051742;ALBIN MICHEL;9782226075635;HACHETTE;;;
BD000189;REISER;;LES COPINES;;12.04;11.44;HUMOUR;6002133;ALBIN MICHEL;9782226013415;HACHETTE;;;
BD000190;REISER;;ILS SONT MOCHES;;10.52;9.99;HUMOUR;6002141;ALBIN MICHEL;9782226013675;HACHETTE;;;
BD000191;REISER;;MON PAPA;;10.52;9.99;HUMOUR;6002158;ALBIN MICHEL;9782226013682;HACHETTE;;;
BD000192;REISER;;ON VIT UNE EPOQUE FORMIDABLE;;10.52;9.99;HUMOUR;6002166;ALBIN MICHEL;9782226013712;HACHETTE;;;
BD000193;REISER;;LA VIE DES BETES;;12.04;11.44;HUMOUR;6002190;ALBIN MICHEL;9782226013705;HACHETTE;;;
BD000194;REISER;LA VIE AU GRAND AIR;LA VIE AU GRAND AIR - T1;;10.52;9.99;HUMOUR;6002182;ALBIN MICHEL;9782226013699;HACHETTE;;;
BD000195;REISER;LA VIE AU GRAND AIR;LA VIE AU GRAND AIR - T2;;10.52;9.99;HUMOUR;6036834;ALBIN MICHEL;9782226087683;HACHETTE;;;
BD000196;REISER;LA VIE AU GRAND AIR;LA VIE AU GRAND AIR - T3;;10.52;9.99;HUMOUR;6037956;ALBIN MICHEL;9782226092960;HACHETTE;;;
BD000197;REISER;;VIVE LES FEMMES;;10.52;9.99;HUMOUR;6002208;ALBIN MICHEL;9782226013729;HACHETTE;;;
BD000198;REISER;;VIVE LES VACANCES;;10.52;9.99;HUMOUR;6002216;ALBIN MICHEL;9782226013736;HACHETTE;;;
BD000199;REISER;;GROS DEGUEULASSE;;10.52;9.99;HUMOUR;6003123;ALBIN MICHEL;9782226015266;HACHETTE;;;
BD000200;REISER;;FOUS D'AMOUR;;12.04;11.44;HUMOUR;6004022;ALBIN MICHEL;9782226012661;HACHETTE;;;
BD000201;REISER;;JEANINE;;10.52;9.99;HUMOUR;6017081;ALBIN MICHEL;9782226029782;HACHETTE;;;
BD000202;REISER;;LA FAMILLE OBOULOT EN VACANCES;;10.52;9.99;HUMOUR;6051155;ALBIN MICHEL;9782226035769;HACHETTE;;;
BD000203;REISER;;LES OREILLES ROUGES;;8.99;8.54;HUMOUR;6051437;ALBIN MICHEL;9782226056801;HACHETTE;;;
BD000204;REISER;;TAM TAM;;13.57;12.89;HUMOUR;6027940;ALBIN MICHEL;9782226063823;HACHETTE;;;
BD000205;REISER;;DESSINS COCHONS;;19.82;18.83;HUMOUR;6052310;ALBIN MICHEL;9782226099945;HACHETTE;;;
BD000206;REISER;LES ANNEES REISER;ON EST PASSE A COTE DU BONHEUR (1974);;13.57;12.89;HUMOUR;6031686;ALBIN MICHEL;9782226075895;HACHETTE;;;
BD000207;REISER;LES ANNEES REISER;SONT PAS PLUS FORTS QUE NOUS (1975);;14.94;14.19;HUMOUR;6032809;ALBIN MICHEL;9782226077745;HACHETTE;;;
BD000208;REISER;LES ANNEES REISER;A BAS TOUT (1976);;14.94;14.19;HUMOUR;6034532;ALBIN MICHEL;9782226079985;HACHETTE;;;
BD000209;REISER;LES ANNEES REISER;VOTEZ PRINTEMPS (1977);;14.94;14.19;HUMOUR;6035521;ALBIN MICHEL;9782226085054;HACHETTE;;;
BD000210;REISER;LES ANNEES REISER;C'EST BEAU UNE FEMME (1978);;14.94;14.19;HUMOUR;6037196;ALBIN MICHEL;9782226085184;HACHETTE;;;
BD000211;REISER;LES ANNEES REISER;PLAGE PRIVEE (1979);;14.94;14.19;HUMOUR;6040067;ALBIN MICHEL;9782226094148;HACHETTE;;;
BD000212;REISER;LES ANNEES REISER;LA RUEE VERS RIEN (1980);;14.94;14.19;HUMOUR;6043905;ALBIN MICHEL;9782226105509;HACHETTE;;;
BD000213;REISER / COLUCHE;;Y EN AURA POUR TOUT LE MONDE;;12.04;11.44;HUMOUR;6022693;ALBIN MICHEL;9782226051547;HACHETTE;;;
BD000214;REMY;;SADO MASO CHIC;;27.44;26.07;EROTIQUE;6034540;ALBIN MICHEL;9782226080004;HACHETTE;;;
BD000215;RISSO / TRILLO;;VIDEO NOIRE;;13.57;12.89;;6052518;ALBIN MICHEL;9782226106865;HACHETTE;;;
BD000216;RODRIGUE / BRUNEL;GUIDES EN BD;MANUEL DE SURVIE A L'USAGE DES BRICOLEURS;;8.99;8.54;HUMOUR;6052401;ALBIN MICHEL;9782226105059;HACHETTE;;;
BD000217;RODRIGUE / BRUNEL;GUIDES EN BD;LE MANUEL DU PARFAIT JARDINIER;;8.99;8.54;HUMOUR;6052575;ALBIN MICHEL;9782226107473;HACHETTE;;;
BD000218;RODRIGUE / BRUNEL;GUIDES EN BD;LE MANUEL DU PARFAIT CAMPEUR;;8.99;8.54;HUMOUR;6054928;ALBIN MICHEL;9782226107503;HACHETTE;;;
BD000219;VON GOTHA / JOUBERT;JANICE;LES CARNETS SECRETS DE JANICE;;12.96;12.96;EROTIQUE;5775176;LA MUSARDINE;;HACHETTE;Pour ce recueil, VON GOTHA a réalisé une cinquantaine de peintures et illustrations inspirées de ses Malheurs de Janice. En grand format, il a pu donner libre cours à son talent et à sa formation d'artistes classique. Jamais Janice n'avait été si belle et si convoîtée par les hommes, et Bernard JOUBERT a donné à cet album sa touche finale, avec des textes dans la lignée du marquis de Sade. - Album relié - 24x32 - 56 pages couleurs;;
BD000220;ROTUNDO / MIGNACCO;;PAS DE PITIE POUR LE PRIVE;;6.4;6.08;AVENTURE;113997;ALBIN MICHEL;9782226022875;HACHETTE;;;
BD000221;ROTUNDO / VOLINE;;LA PEAU DE CHAGRIN;;11.89;11.3;EROTIQUE;6052302;ALBIN MICHEL;9782226095343;HACHETTE;Surtout n'y touchez pas ! Elle donne vie à tous vos désirs en vous distillant la mort. Une transposition moderne et coquine du roman d'Honoré de Balzac.;;
BD000222;SCHLINGO;;VIVEMENT CE SOIR QU'ON SE COUCHE;;11.43;10.86;HUMOUR;6051288;ALBIN MICHEL;9782226039743;HACHETTE;;;
BD000223;SCHLINGO;;PATRON UNE CUITE S'IL VOUS PLAIT;;11.89;11.3;HUMOUR;6052252;ALBIN MICHEL;9782226095848;HACHETTE;;;
BD000224;SCHIMPP / LALIA;BELZAREK;AU NOM DU PERE - T1;;12.96;12.31;;605242;ALBIN MICHEL;9782226107428;HACHETTE;;;
BD000225;SCHULTEISS;LE THEOREME DE BELL;LE THEOREME DE BELL - T1;;8.69;8.26;FANTASTIQUE;6050967;ALBIN MICHEL;9782226022950;HACHETTE;;;
BD000226;SCHULTEISS;LE THEOREME DE BELL;LE CONTACT - T2;;8.69;8.26;FANTASTIQUE;6051056;ALBIN MICHEL;9782226032850;HACHETTE;;;
BD000227;SCHULTEISS;LE THEOREME DE BELL;LA SOLUTION - T3;;8.69;8.26;FANTASTIQUE;6051197;ALBIN MICHEL;9782226037367;HACHETTE;;;
BD000228;SERRES / WERBER;LES FOURMIS;LES FOURMIS - LA BD;;8.99;8.54;FANTASTIQUE;6051734;ALBIN MICHEL;9782226075628;HACHETTE;;;
BD000229;SIRE / DIONNET;;L'ILE DES AMAZONES ORCHID ISLAND;;14.94;14.19;AVENTURE;6052120;ALBIN MICHEL;9782226094155;HACHETTE;;;
BD000230;STAN / VINCE;;PUTAIN DE TELE;;10.52;9.99;HUMOUR;6051817;ALBIN MICHEL;9782226078186;HACHETTE;STAN et VINCE font exploser l'écran de vos stars préférées. Vous n'êtes pas près de changer de chaîne...;;
BD000231;TRAMBER;;LA GRANDE SOURIS NOIRE;;7.93;7.53;HUMOUR;6051098;ALBIN MICHEL;9782226031570;HACHETTE;;;
BD000232;TRAMBER;;PAS DE CADEAU A GROMAGO;;10.52;9.99;HUMOUR;6020614;ALBIN MICHEL;9782226037374;HACHETTE;;;
BD000233;TRAMBER;;RESTONS CALMES ET BUVONS FRAIS;;10.52;9.99;HUMOUR;6051585;ALBIN MICHEL;9782226063762;HACHETTE;;;
BD000234;TRAMBER / JOUIN;;LE SECRET DE PLEGASTEL;;10.52;9.99;THRILLER;6052104;ALBIN MICHEL;9782226093493;HACHETTE;;;
BD000235;TRAMBER / DAUTRIAT;;BZH BRETAGNE ZONE HEUREUSE;;14.94;14.19;HUMOUR;6052336;ALBIN MICHEL;9782226100498;HACHETTE;;;
BD000236;TRILLO / BERNET;BANG BANG;BANG BANG - T1;;12.04;11.44;;6052393;ALBIN MICHEL;9782226105042;HACHETTE;;;
BD000237;TRILLO / MANDRAFINA;LA GRANDE ARNAQUE;LA GRANDE ARNAQUE - T1;;14.94;14.19;AVENTURE;6052278;ALBIN MICHEL;9782226095947;HACHETTE;;;
BD000238;TRILLO / MANDRAFINA;LA GRANDE ARNAQUE;L'IGUANE - T2;;12.04;11.44;AVENTURE;6052492;ALBIN MICHEL;9782226106834;HACHETTE;;;
BD000239;TRILLO / MANDRAFINA;VIEILLES CANAILLES;L'ESPRIT DE FAMILLE - T1;;12.04;11.44;AVENTURE;6055172;ALBIN MICHEL;9782226108807;HACHETTE;;;
